"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"2457","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2458","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2459","hispanic","TRUE","FALSE","citation","FALSE",NA
"2460","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2461","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2462","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2463","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2464","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2465","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2466","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2467","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2468","black","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2469","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2470","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2471","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2472","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2473","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2474","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2475","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2476","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2477","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2478","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2479","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2480","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2481","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2482","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2483","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2484","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2485","white","FALSE",NA,"citation","FALSE","sat in police vehicle"
"2486","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2487","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"2488","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2489","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2490","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2491","white","FALSE",NA,NA,"FALSE",NA
"2492",NA,NA,NA,NA,"FALSE",NA
"2493","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2494","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2495","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2496","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2497","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2498","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2499","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2500","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2501","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2502","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2503","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2504","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2505","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2506","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2507","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2508","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"2509","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2510","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2511","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2512","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2513","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2514","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2515","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2516","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2517","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2518","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2519","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2520","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2521","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2522","white","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2523","hispanic","TRUE","FALSE",NA,"FALSE",NA
"2524","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2525","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2526","hispanic","TRUE","FALSE",NA,"FALSE",NA
