"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"12574","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12575","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12576","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12577","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12578","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12579","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12580","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12581","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12582","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12583","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12584","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12585","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12586","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12587","hispanic",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12588","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12589","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12590","other/unknown",NA,NA,NA,"FALSE",NA
"12591","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12592","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12593","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12594","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12595","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12596","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12597","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12598","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12599","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12600","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12601","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12602","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12603","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12604","white",NA,NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12605","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12606","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12607",NA,NA,NA,NA,"FALSE",NA
"12608","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12609","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12610","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12611","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12612","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12613","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12614","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12615","asian/pacific islander","TRUE","FALSE","arrest","TRUE","handcuffed"
"12616","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12617","other/unknown",NA,NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12618","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12619","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12620","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12621","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12622","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12623","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12624","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12625","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12626","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12627","white",NA,NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12628","other/unknown",NA,NA,"citation","FALSE",NA
"12629","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12630","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12631","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12632","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12633","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12634","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12635","other/unknown","FALSE",NA,NA,NA,"no curb, no handcuff, no police vehicle"
"12636",NA,NA,NA,NA,NA,NA
"12637","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12638","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12639","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12640","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12641","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12642","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12643","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12644","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12645","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12646","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12647","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12648","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12649","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12650","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12651","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12652","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12653","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12654","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12655","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12656","hispanic","TRUE","FALSE","citation","FALSE","sat in police vehicle"
"12657","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12658","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12659","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12660","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12661","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12662","black","TRUE","FALSE",NA,"FALSE",NA
"12663","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12664","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12665","other/unknown","TRUE","FALSE",NA,"FALSE",NA
"12666","hispanic","FALSE",NA,"citation","FALSE",NA
"12667","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12668","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12669","hispanic","TRUE","FALSE","arrest","TRUE","no curb, no handcuff, no police vehicle"
"12670","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12671","black","TRUE","TRUE","citation","FALSE",NA
"12672","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12673","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12674","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12675","white","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12676","hispanic","FALSE",NA,"citation","FALSE",NA
"12677","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12678","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12679","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12680","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12681","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12682","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"12683","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12684","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12685","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12686","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12687","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12688",NA,NA,NA,"citation","FALSE",NA
"12689","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12690","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12691","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12692","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12693","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12694","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12695","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12696","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12697","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12698","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12699","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12700","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12701","white",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12702","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12703","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12704","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12705","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12706","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12707","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12708","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12709","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12710","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12711","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12712","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12713","white","FALSE",NA,"citation","FALSE",NA
"12714","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12715","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12716","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12717","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12718","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12719","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12720","hispanic","TRUE","FALSE","citation","FALSE",NA
"12721","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12722","other/unknown",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12723","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12724","white","FALSE",NA,"citation","FALSE",NA
"12725","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12726","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12727","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12728","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12729","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12730","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12731","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12732","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12733","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12734","white",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12735","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12736","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12737","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12738","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12739","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12740","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12741","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12742","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12743","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12744","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12745","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12746","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12747","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12748","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12749","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12750","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12751","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12752","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12753","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12754","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12755","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12756","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12757","white",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12758","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12759","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12760","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12761","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12762","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12763","hispanic","TRUE","FALSE",NA,"FALSE","sat in police vehicle"
"12764","hispanic","TRUE","FALSE",NA,"FALSE",NA
"12765","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12766","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12767","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12768","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12769","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12770","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12771","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12772","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12773","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12774","hispanic","TRUE","FALSE","citation","FALSE","sat in police vehicle"
"12775","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12776","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12777","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12778","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12779","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12780","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12781","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12782","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"12783","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12784","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12785","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12786","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"12787","black","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12788","black","TRUE","FALSE",NA,"FALSE","sat in police vehicle"
"12789","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12790","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12791","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12792","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12793","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12794","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12795","hispanic","TRUE","FALSE","citation","FALSE","sat in police vehicle"
"12796","hispanic","TRUE","FALSE",NA,"FALSE","handcuffed"
"12797","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12798","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12799","hispanic","TRUE","FALSE",NA,"FALSE",NA
"12800","white","FALSE",NA,"citation","FALSE","sat in police vehicle"
"12801","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12802","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12803","other/unknown","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12804","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12805","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12806","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12807","asian/pacific islander","FALSE",NA,NA,"FALSE",NA
"12808","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12809","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12810","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12811","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12812","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12813","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12814","hispanic","TRUE","FALSE","citation","FALSE",NA
"12815","hispanic","TRUE","FALSE","citation","FALSE",NA
"12816","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12817","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12818","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12819","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12820","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12821","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12822","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12823","black","FALSE",NA,"citation","FALSE",NA
"12824","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12825","hispanic","TRUE","FALSE",NA,"FALSE",NA
"12826","hispanic","TRUE","FALSE",NA,"FALSE",NA
"12827","other/unknown","FALSE",NA,NA,"FALSE",NA
"12828","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12829","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12830","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12831","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12832","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"12833","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12834","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12835","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12836","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12837","hispanic","TRUE","FALSE",NA,"FALSE","handcuffed"
"12838","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12839","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12840","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12841","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12842","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12843","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12844","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12845","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12846","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12847","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12848","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12849","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12850","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12851","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12852","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12853","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12854","hispanic","TRUE","FALSE",NA,"FALSE",NA
"12855","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12856","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12857","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12858","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12859","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"12860","hispanic","TRUE","FALSE",NA,"FALSE",NA
"12861","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12862","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12863","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12864","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12865","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12866","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12867","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12868","hispanic","FALSE",NA,NA,"FALSE",NA
"12869","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12870","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12871","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12872","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12873","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12874","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12875","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12876","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12877","white",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12878","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12879","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12880","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12881","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12882","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12883","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12884","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12885","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12886","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12887","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12888","hispanic",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12889","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12890","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12891","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12892","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12893","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12894","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12895","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12896","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12897","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12898","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12899","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"12900","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
